process_id,input_size,output_size,priority,final_delay
1,253,29,7,7.91001
2,140,136,14,4.37868
3,240,92,17,7.504426666666666
4,68,60,4,2.1267066666666667
5,62,50,16,1.9389933333333333
6,54,31,11,1.6886333333333334
7,278,78,15,8.692246666666666
8,132,109,5,4.128213333333333
9,10,10,1,0.31276666666666664
10,237,182,12,7.411836666666667
11,44,28,18,1.37596
12,127,88,5,3.971616666666667
13,94,11,17,2.9389000000000003
14,135,24,9,4.220870000000001
15,190,140,20,5.9418999999999995
16,262,131,4,8.19274
17,189,152,15,5.910796666666666
18,131,17,10,4.095723333333333
19,53,22,5,1.65725
20,73,73,15,2.283196666666667
21,107,21,2,3.3454566666666667
22,229,20,11,7.1595699999999995
23,93,54,19,2.90821
24,148,55,16,4.627706666666667
25,10,10,13,0.31276666666666664
26,70,22,7,2.1887266666666667
27,290,138,11,9.068206666666667
28,82,82,7,2.564686666666667
29,87,42,6,2.72047
30,194,150,18,6.0670866666666665
31,109,74,8,3.40869
32,74,39,7,2.3140066666666663
33,10,10,3,0.31276666666666664
34,232,127,18,7.254786666666667
35,145,43,15,4.533756666666667
36,42,38,13,1.3135666666666665
37,81,15,2,2.53253
38,180,120,3,5.629
39,100,61,6,3.1271466666666665
40,41,38,8,1.2823033333333334
41,49,10,9,1.5320366666666667
42,158,53,7,4.940313333333333
43,193,30,3,6.034223333333333
44,83,21,1,2.595136666666667
45,221,167,1,6.9114233333333335
46,86,51,8,2.6893266666666666
47,115,90,19,3.596483333333333
48,264,25,3,8.253853333333334
49,45,35,13,1.4073166666666665
50,44,12,2,1.3757466666666667
51,17,11,17,0.5316233333333333
52,271,251,11,8.475710000000001
53,249,206,20,7.787316666666667
54,221,120,13,6.910796666666666
55,43,18,3,1.3445633333333333
56,178,165,10,5.567073333333333
57,234,166,3,7.317833333333334
58,132,38,7,4.127266666666666
59,29,22,16,0.90693
60,113,90,20,3.5339566666666666
61,162,79,15,5.065713333333333
62,183,78,11,5.72223
63,26,24,12,0.8131666666666667
64,146,22,13,4.5647400000000005
65,243,154,2,7.599043333333333
66,52,16,19,1.6259066666666668
67,58,54,20,1.8139933333333333
68,89,17,7,2.7826633333333333
69,167,128,11,5.222683333333333
70,75,52,7,2.3454433333333333
71,83,69,8,2.5957766666666666
72,153,129,3,4.78501
73,80,52,19,2.50176
74,109,75,12,3.4087033333333334
75,60,60,1,1.8765999999999998
76,128,123,1,4.003346666666666
77,150,108,17,4.690939999999999
78,138,85,4,4.315473333333333
79,179,171,12,5.598416666666666
80,226,90,15,7.066713333333333
81,249,86,17,7.7857166666666675
82,68,26,5,2.1262533333333336
83,93,48,16,2.9081300000000003
84,67,25,20,2.0949766666666667
85,167,125,7,5.222643333333334
86,107,106,10,3.34659
87,37,13,9,1.1569166666666666
88,269,265,5,8.41337
89,35,22,2,1.0945099999999999
90,269,58,1,8.41061
91,175,63,20,5.471923333333334
92,216,209,12,6.7556666666666665
93,196,12,8,6.127773333333334
94,205,10,3,6.409116666666667
95,179,34,17,5.59659
96,225,72,19,7.03521
97,288,163,15,9.006013333333334
98,284,216,20,8.881666666666666
99,238,54,4,7.441393333333334
100,169,89,9,5.284689999999999
101,151,109,6,4.722216666666666
102,199,36,3,6.2218833333333325
103,268,17,4,8.3788
104,50,25,2,1.5635
105,211,59,4,6.59735
106,31,21,3,0.9694433333333333
107,288,15,3,9.00404
108,188,155,10,5.879573333333334
109,159,124,16,4.972523333333333
110,19,12,10,0.5941633333333334
111,44,39,20,1.3761066666666668
112,173,34,17,5.40901
113,300,185,20,9.381466666666666
114,39,30,5,1.21967
115,49,44,12,1.5324900000000001
116,154,92,18,4.81578
117,229,29,20,7.159689999999999
118,148,86,3,4.62812
119,212,20,5,6.628093333333333
120,191,131,19,5.973043333333333
121,186,55,9,5.815713333333334
122,184,28,3,5.7528266666666665
123,264,202,2,8.256213333333333
124,299,239,2,9.350923333333332
125,230,113,14,7.192073333333333
126,260,51,1,8.129146666666665
127,70,38,11,2.18894
128,125,58,17,3.90869
129,283,108,4,8.848963333333334
130,177,124,2,5.535263333333334
131,141,118,2,4.409703333333333
132,212,58,20,6.6286
133,174,165,9,5.44202
134,93,16,20,2.9077033333333335
135,151,130,17,4.722496666666666
136,219,49,18,6.847323333333333
137,162,74,8,5.065646666666667
138,33,28,10,1.0320633333333333
139,107,67,20,3.34607
140,35,20,3,1.0944833333333333
141,164,54,20,5.127906666666667
142,108,80,5,3.3775066666666667
143,195,158,13,6.098456666666666
144,119,35,20,3.7208033333333335
145,200,13,20,6.25284
146,53,52,2,1.65765
147,41,13,9,1.28197
148,140,11,3,4.377013333333333
149,140,132,9,4.3786266666666664
150,164,108,12,5.1286266666666664
151,220,157,14,6.880026666666667
152,10,10,9,0.31276666666666664
153,228,72,17,7.1290000000000004
154,249,50,10,7.785236666666667
155,70,30,5,2.188833333333333
156,283,105,10,8.848923333333333
157,297,117,14,9.286769999999999
158,90,13,4,2.813873333333333
159,269,215,18,8.412703333333333
160,115,16,8,3.5954966666666666
161,283,132,14,8.849283333333334
162,44,16,5,1.3758000000000001
163,241,200,20,7.537129999999999
164,62,53,11,1.9390333333333334
165,42,32,18,1.3134866666666665
166,187,93,2,5.847483333333334
167,219,118,2,6.848243333333333
168,60,45,4,1.8763999999999998
169,65,29,17,2.032503333333333
170,295,30,18,9.223083333333333
171,24,12,8,0.75048
172,18,13,14,0.5629133333333334
173,79,76,18,2.4708166666666664
174,286,27,20,8.941673333333334
175,32,29,6,1.0008133333333333
176,112,57,8,3.5022533333333334
177,296,233,5,9.257053333333333
178,93,52,4,2.9081833333333336
179,218,148,11,6.81738
180,14,10,12,0.43782
181,271,156,4,8.474443333333333
182,274,162,5,8.568313333333334
183,148,142,7,4.628866666666666
184,60,46,7,1.8764133333333333
185,160,145,2,5.004066666666667
186,212,117,17,6.629386666666666
187,40,13,2,1.2507066666666666
188,129,99,19,4.0342899999999995
189,144,36,12,4.5024
190,18,15,17,0.56294
191,244,129,15,7.629973333333333
192,179,174,12,5.598456666666666
193,119,18,5,3.7205766666666666
194,282,123,18,8.8179
195,285,133,13,8.911823333333333
196,41,25,13,1.28213
197,251,48,1,7.847736666666666
198,31,25,13,0.9694966666666667
199,276,235,15,8.631813333333332
200,208,67,12,6.503666666666667
201,168,21,6,5.25252
202,52,17,7,1.62592
203,32,11,9,1.0005733333333333
204,16,12,13,0.5003733333333333
205,48,44,1,1.5012266666666667
206,220,54,16,6.878653333333333
207,18,13,7,0.5629133333333334
208,146,41,19,4.564993333333334
209,112,107,19,3.50292
210,169,115,1,5.285036666666667
211,270,238,17,8.444273333333333
212,275,95,17,8.598683333333332
213,131,58,20,4.09627
214,87,83,9,2.721016666666667
215,50,24,18,1.5634866666666667
216,128,76,1,4.00272
217,298,142,15,9.318366666666666
218,144,48,13,4.50256
219,167,76,19,5.221990000000001
220,107,13,2,3.34535
221,214,51,8,6.691033333333333
222,59,21,10,1.8448166666666668
223,164,35,13,5.127653333333334
224,81,65,17,2.5331966666666665
225,99,34,11,3.0955233333333334
226,25,21,16,0.7818633333333332
227,133,63,9,4.158863333333334
228,139,38,2,4.3461099999999995
229,263,71,1,8.223203333333334
230,120,34,14,3.752053333333333
231,213,116,14,6.660636666666667
232,19,16,18,0.5942166666666666
233,273,167,19,8.537116666666668
234,154,66,9,4.815433333333334
235,166,46,12,5.1903266666666665
236,281,141,16,8.786876666666666
237,149,128,16,4.659943333333333
238,47,12,9,1.4695366666666667
239,79,61,16,2.4706166666666665
240,34,20,10,1.06322
241,14,10,4,0.43782
242,299,35,12,9.348203333333332
243,122,59,13,3.814913333333333
244,155,26,11,4.846163333333333
245,190,54,19,5.940753333333333
246,199,17,8,6.221629999999999
247,80,76,5,2.50208
248,13,11,2,0.40657000000000004
249,287,188,15,8.975083333333334
250,272,187,18,8.506120000000001
251,143,109,20,4.47211
252,131,124,19,4.09715
253,149,72,12,4.659196666666666
254,81,24,12,2.53265
255,49,44,7,1.5324900000000001
256,45,34,15,1.4073033333333334
257,113,39,5,3.5332766666666666
258,42,23,18,1.3133666666666666
259,18,11,19,0.5628866666666666
260,162,114,3,5.06618
261,162,36,15,5.0651399999999995
262,124,122,19,3.87828
263,100,88,8,3.1275066666666667
264,14,13,2,0.43786
265,222,148,4,6.942433333333333
266,270,71,6,8.442046666666668
267,107,70,18,3.34611
268,271,83,9,8.47347
269,50,44,3,1.5637533333333333
270,260,195,14,8.131066666666666
271,192,27,14,6.00292
272,64,20,12,2.00112
273,293,154,11,9.16221
274,37,28,3,1.1571166666666666
275,132,93,20,4.128
276,238,145,19,7.442606666666667
277,133,57,5,4.158783333333333
278,23,13,7,0.71923
279,177,131,12,5.535356666666667
280,60,32,8,1.8762266666666665
281,150,71,6,4.690446666666666
282,184,20,17,5.75272
283,263,74,20,8.223243333333333
284,86,69,14,2.6895666666666664
285,27,23,7,0.8444166666666667
286,293,167,13,9.162383333333334
287,43,32,14,1.34475
288,266,103,5,8.31742
289,145,103,5,4.534556666666667
290,255,115,4,7.973683333333334
291,189,68,17,5.909676666666666
292,281,76,14,8.78601
293,143,21,7,4.470936666666667
294,162,148,9,5.066633333333333
295,217,82,1,6.785236666666667
296,190,51,12,5.940713333333333
297,249,47,19,7.785196666666667
298,206,45,20,6.440846666666667
299,61,61,3,1.9078766666666667
300,91,33,15,2.8454033333333335
301,217,41,4,6.78469
302,173,104,6,5.4099433333333335
303,219,24,20,6.84699
304,145,61,1,4.533996666666667
305,149,24,9,4.658556666666667
306,173,144,3,5.410476666666667
307,79,25,18,2.4701366666666664
308,39,34,18,1.2197233333333335
309,106,17,17,3.31414
310,232,53,2,7.2538
311,146,108,12,4.565886666666667
312,268,250,6,8.381906666666668
313,256,126,1,8.005093333333333
314,140,57,4,4.377626666666666
315,244,31,17,7.628666666666667
316,56,41,5,1.7512933333333334
317,121,116,19,3.78441
318,27,10,20,0.8442433333333333
319,39,10,19,1.2194033333333334
320,167,106,1,5.222390000000001
321,96,13,14,3.001453333333333
322,159,30,1,4.97127
323,79,48,11,2.4704433333333333
324,269,41,3,8.410383333333334
325,189,120,19,5.9103699999999995
326,31,10,8,0.9692966666666667
327,292,24,4,9.129213333333334
328,224,10,14,7.00312
329,265,173,20,8.28709
330,280,130,20,8.755466666666667
331,209,116,18,6.535583333333333
332,288,219,5,9.00676
333,230,145,20,7.1925
334,297,221,1,9.288156666666666
335,212,136,3,6.62964
336,199,172,2,6.223696666666666
337,246,37,20,7.691273333333333
338,109,82,15,3.408796666666667
339,64,43,18,2.0014266666666667
340,213,95,11,6.660356666666667
341,54,50,2,1.6888866666666666
342,235,125,8,7.34855
343,242,73,1,7.5667
344,21,19,16,0.6567833333333333
345,206,131,17,6.4419933333333335
346,26,10,4,0.81298
347,218,187,18,6.817900000000001
348,193,165,4,6.0360233333333335
349,90,15,17,2.8139
350,235,37,13,7.3473766666666664
351,184,109,16,5.7539066666666665
352,274,143,1,8.568060000000001
353,48,41,6,1.5011866666666667
354,269,157,1,8.41193
355,124,83,11,3.8777600000000003
356,300,271,19,9.382613333333333
357,26,25,8,0.81318
358,229,196,4,7.1619166666666665
359,154,64,16,4.815406666666667
360,182,154,10,5.69198
361,116,101,3,3.627893333333333
362,10,10,7,0.31276666666666664
363,232,115,7,7.254626666666667
364,26,19,8,0.8131
365,27,13,2,0.8442833333333334
366,240,226,2,7.506213333333333
367,123,12,18,3.8455500000000002
368,183,21,11,5.72147
369,36,22,20,1.1257733333333333
370,56,46,8,1.75136
371,173,120,13,5.4101566666666665
372,86,54,3,2.6893666666666665
373,283,144,17,8.849443333333333
374,260,247,14,8.13176
375,154,114,17,4.816073333333334
376,59,14,11,1.8447233333333333
377,92,59,6,2.877013333333333
378,90,78,10,2.81474
379,208,57,20,6.503533333333333
380,64,36,10,2.001333333333333
381,208,122,1,6.5044
382,190,180,18,5.942433333333333
383,111,92,16,3.4714566666666666
384,185,167,10,5.785943333333334
385,266,102,10,8.317406666666667
386,101,44,12,3.158183333333333
387,110,38,15,3.4394733333333334
388,179,82,14,5.59723
389,134,63,8,4.190126666666667
390,199,171,7,6.223683333333333
391,266,107,4,8.317473333333334
392,160,124,19,5.003786666666667
393,194,47,12,6.065713333333333
394,31,31,1,0.9695766666666668
395,46,35,7,1.43858
396,112,12,7,3.5016533333333335
397,120,30,18,3.752
398,12,12,5,0.37532
399,199,142,8,6.223296666666666
400,97,27,15,3.0329033333333335
401,79,48,3,2.4704433333333333
402,61,23,16,1.90737
403,81,27,20,2.53269
404,48,23,7,1.5009466666666667
405,27,24,10,0.84443
406,230,104,10,7.191953333333333
407,296,282,8,9.257706666666666
408,260,189,13,8.130986666666667
409,95,42,2,2.9705766666666666
410,203,77,8,6.347483333333333
411,263,78,15,8.223296666666666
412,207,48,3,6.47215
413,20,10,19,0.6254
414,204,179,8,6.380106666666666
415,187,80,14,5.84731
416,81,80,11,2.5333966666666665
417,109,47,17,3.4083300000000003
418,95,55,20,2.97075
419,297,65,18,9.286076666666666
420,111,41,3,3.4707766666666666
421,250,147,14,7.817793333333333
422,177,112,15,5.535103333333334
